code,name,description,hours_per_week,facility_hours,minimum_hours_per_lesson,term_available,pillar
20.211,Introduction to Design Computation,nil,0,nil:0,0,0,ASD
20.201,Architectural Science and Technology,nil,0,nil:0,0,0,ASD
20.101,Architecture Core Studio 1,nil,0,nil:0,0,0,ASD
40.001 ,Probability,nil,0,nil:0,0,0,ESD
40.002 ,Optimisation,nil,0,nil:0,0,0,ESD
40.004 ,Statistics,nil,0,nil:0,0,0,ESD
40.011 ,Data and Business Analytics,nil,0,nil:0,0,0,ESD
40.012 ,Manufacturing and Service Operations,nil,0,nil:0,0,0,ESD
40.013 ,Network Analysis and Control,nil,0,nil:0,0,0,ESD
40.014 ,Engineering Systems Architecture,nil,0,nil:0,0,0,ESD
40.015 ,Simulation Modelling and Analysis,nil,0,nil:0,0,0,ESD
40.220 ,The Analytics Edge,nil,0,nil:0,0,0,ESD
40.230 ,Sustainable Engineering,nil,0,nil:0,0,0,ESD
40.232 ,Water Resources Management,nil,0,nil:0,0,0,ESD
40.240 ,Investment Science,nil,0,nil:0,0,0,ESD
40.242 ,Derivative Pricing and Risk Management,nil,0,nil:0,0,0,ESD
40.260 ,Supply Chain Management,nil,0,nil:0,0,0,ESD
40.302 ,Advanced Topics in Optimisation,nil,0,nil:0,0,0,ESD
40.305 ,Advanced Topics in Stochastic Modelling,nil,0,nil:0,0,0,ESD
40.316 ,Game Theory,nil,0,nil:0,0,0,ESD
40.317 ,Financial Systems Design,nil,0,nil:0,0,0,ESD
40.318 ,Global Trade and Logistics,nil,0,nil:0,0,0,ESD
01.102 ,Energy Systems and Management,nil,0,nil:0,0,0,ESD
01.104 ,Networked Life,nil,0,nil:0,0,0,ESD
01.107,Urban Transportation,nil,0,nil:0,0,0,ESD
50.001,Introduction to Information Systems and Programming,nil,0,nil:0,0,0,ISTD
50.002,Computation Structures,nil,0,nil:0,0,0,ISTD
50.003,Elements of Software Construction,nil,0,nil:0,0,0,ISTD
50.004,Introduction to Algorithms,nil,0,nil:0,0,0,ISTD
50.005,Computer System Engineering,nil,0,nil:0,0,0,ISTD
50.034,Introduction to Probability and Statistics,nil,0,nil:0,0,0,ISTD
50.006,User Interface Design and Implementation,nil,0,nil:0,0,0,ISTD
50.008,Database Management Systems,nil,0,nil:0,0,0,ISTD
50.012,Networks,nil,0,nil:0,0,0,ISTD
50.017,Graphics and Visualisation,nil,0,nil:0,0,0,ISTD
50.020,Security,nil,0,nil:0,0,0,ISTD
50.021,Artificial Intelligence,nil,0,nil:0,0,0,ISTD
50.033,Foundations of Game Design and Development,nil,0,nil:0,0,0,ISTD
50.035,Computer Vision,nil,0,nil:0,0,0,ISTD
50.036,Foundations of Distributed Autonomous Systems,nil,0,nil:0,0,0,ISTD
50.037,Blockchain Technology,nil,0,nil:0,0,0,ISTD
XXXXX,Computational Data Science,nil,0,nil:0,0,0,ISTD
01.110,Computational Fabrication,nil,0,nil:0,0,0,ISTD
01.112,Machine Learning,nil,0,nil:0,0,0,ISTD
02.102,The World Since 1400,nil,0,nil:0,0,0,PillarYear
02.103,Film Studies: History$ Theory and Practice,nil,0,nil:0,0,0,PillarYear
02.105,Sages Through The Ages: Readings in Early Indian and Chinese Religion and Philosophy,nil,0,nil:0,0,0,PillarYear
02.107,History of Chinese Urban Development,nil,0,nil:0,0,0,PillarYear
02.108,Modern China: Pluralism$ and Beyond Territoriality,nil,0,nil:0,0,0,PillarYear
02.109 ,Ethics of Leadership,nil,0,nil:0,0,0,PillarYear
02.110,The Chinese Lyrical Tradition: Arts$ Literature and Landscape Design,nil,0,nil:0,0,0,PillarYear
02.112,Space and Power,nil,0,nil:0,0,0,PillarYear
02.113,The Laboratory of the Mind,nil,0,nil:0,0,0,PillarYear
02.114,The Multicultural Archipelago in History and Story,nil,0,nil:0,0,0,PillarYear
02.115 ,Global Shakespeares,nil,0,nil:0,0,0,PillarYear
02.116,The Word and the World: Introducing Literary Theory,nil,0,nil:0,0,0,PillarYear
02.118 ,Film Studies II: Production,nil,0,nil:0,0,0,PillarYear
02.119,Introduction to Political Philosophy,nil,0,nil:0,0,0,PillarYear
02.120,History of Traditional Chinese Short Fiction,nil,0,nil:0,0,0,PillarYear
02.121,The Question of Being,nil,0,nil:0,0,0,PillarYear
02.122,The Day After Tomorrow: Environmental Apocalypse and Political Mobilization,nil,0,nil:0,0,0,PillarYear
02.123,Questioning Modernity in Europe and Asia,nil,0,nil:0,0,0,PillarYear
02.125,Normalcy and Deviance: Philosophical Approaches to Sexuality,nil,0,nil:0,0,0,PillarYear
02.126,Southeast Asia Under Japan: Motives$ Memoirs$ and Media,nil,0,nil:0,0,0,PillarYear
02.127 ,Satan and His Afterlives in Literature and Film,nil,0,nil:0,0,0,PillarYear
02.130 ,Slums$ Squatters$ and Smart Cities: History and Theory of Urban Planning,nil,0,nil:0,0,0,PillarYear
02.201 ,Digital Sociology,nil,0,nil:0,0,0,PillarYear
02.202 ,Organizational Processes,nil,0,nil:0,0,0,PillarYear
02.203,Psychological Approaches to Bilingualism,nil,0,nil:0,0,0,PillarYear
02.204,Technology and the Self,nil,0,nil:0,0,0,PillarYear
02.205,Human Development: Theory and Practice,nil,0,nil:0,0,0,PillarYear
02.206 ,Ethics and Social Responsibility,nil,0,nil:0,0,0,PillarYear
02.207 ,Organizations and People,nil,0,nil:0,0,0,PillarYear
02.208 ,Microeconomics,nil,0,nil:0,0,0,PillarYear
02.209,Social Theories of Urban Life,nil,0,nil:0,0,0,PillarYear
02.210,Who Gets Ahead? Sociology of Social Networks and Social Capital,nil,0,nil:0,0,0,PillarYear
02.211,Critical Management Studies,nil,0,nil:0,0,0,PillarYear
02.212,The Visual Culture of Science and Technology,nil,0,nil:0,0,0,PillarYear
02.213,How Culture Works,nil,0,nil:0,0,0,PillarYear
02.214,Magic$ Science and Religion,nil,0,nil:0,0,0,PillarYear
02.217 ,Gender Sexuality and Society,nil,0,nil:0,0,0,PillarYear
02.218 ,Introduction to Psychology,nil,0,nil:0,0,0,PillarYear
02.219 ,Rice Cultures: Technology$ Society and Environment in Asia,nil,0,nil:0,0,0,PillarYear
02.220 ,“How the Things People Make$ Make People”: Material Things in Social Life,nil,0,nil:0,0,0,PillarYear
02.221 ,Making Maps I: Introduction to Spatial Analysis$ Data Visualization and Map Design,nil,0,nil:0,0,0,PillarYear
02.222 ,Unnatural Disasters,nil,0,nil:0,0,0,PillarYear
02.223,Morals and Markets,nil,0,nil:0,0,0,PillarYear
02.224,Sociology of Deviance and Social Control,nil,0,nil:0,0,0,PillarYear
02.227,Maps and Politics,nil,0,nil:0,0,0,PillarYear
02.302,Business Culture and Entrepreneurship in China,nil,0,nil:0,0,0,PillarYear
02.303,The Role of Technology and Design on Growth in China,nil,0,nil:0,0,0,PillarYear
